PartitionKey,FileType,Category,CodeUnit,CodeUnitId,FileName,LineNumber,LinesOfCode,EWI Count,FDM Count,PRF Count,HighestEWISeverity,UDFsUsed,EWI,FDM,PRF,ConversionStatus,LoCConversionPercentage,Deployment Order
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,analytics.executive_dashboard,09_views.sql,457,29,2,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0007,N/A,Partial,24.14%,8*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,loans.origination_pipeline,09_views.sql,435,21,0,1,0,N/A,N/A,N/A,SSC-FDM-0007,N/A,Success,100%,6*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,treasury.interest_rate_risk_summary,09_views.sql,413,21,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,compliance.transaction_monitoring,09_views.sql,394,18,1,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0007,N/A,Partial,94.44%,7*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,analytics.customer_segmentation,09_views.sql,377,16,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,3
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,analytics.operational_metrics,09_views.sql,352,24,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,95.83%,1
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,analytics.product_performance_summary,09_views.sql,329,22,0,1,0,N/A,N/A,N/A,SSC-FDM-0007,N/A,Success,100%,3*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,analytics.branch_performance,09_views.sql,300,28,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,96.43%,7
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,analytics.profitability_analysis,09_views.sql,282,17,0,1,0,N/A,N/A,N/A,SSC-FDM-0007,N/A,Success,100%,3*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,compliance.compliance_status,09_views.sql,257,24,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,compliance.aml_alerts_dashboard,09_views.sql,236,20,1,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0007,N/A,Partial,95%,7*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,risk.credit_risk_dashboard,09_views.sql,218,17,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,risk.risk_exposure_summary,09_views.sql,194,23,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,95.65%,8
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,trading.trading_activity,09_views.sql,170,23,1,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0007,N/A,Partial,95.65%,8*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,trading.portfolio_performance,09_views.sql,142,27,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,7
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,loans.delinquency_report,09_views.sql,113,28,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,8
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,loans.loan_portfolio_summary,09_views.sql,89,23,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,7
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,analytics.transaction_analysis,09_views.sql,71,17,0,1,0,N/A,N/A,N/A,SSC-FDM-0007,N/A,Success,100%,6*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,analytics.account_details,09_views.sql,35,35,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,97.14%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,analytics.customer_summary,09_views.sql,7,27,1,0,0,Medium,N/A,SSC-EWI-PG0001,N/A,N/A,Partial,96.3%,5
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DQL,SELECT,N/A,13_generate_bulk_data.sql,466,10,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,7
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,DROP FUNCTION,N/A,13_generate_bulk_data.sql,461,1,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,NotSupported,0%,1
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,DROP FUNCTION,N/A,13_generate_bulk_data.sql,460,1,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,NotSupported,0%,1
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,DROP FUNCTION,N/A,13_generate_bulk_data.sql,459,1,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,NotSupported,0%,1
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,DROP FUNCTION,N/A,13_generate_bulk_data.sql,458,1,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,NotSupported,0%,1
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,DROP FUNCTION,N/A,13_generate_bulk_data.sql,456,2,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,50%,1
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,440,15,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,93.33%,3
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,421,18,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,94.44%,3
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,395,25,5,0,0,Medium,N/A,SSC-EWI-0073 | SSC-EWI-0036,N/A,N/A,Partial,88%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,373,21,2,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,90.48%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,358,14,2,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,85.71%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,337,20,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,7
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,313,23,2,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,91.3%,7
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,293,19,2,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,89.47%,7
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,UPDATE,N/A,13_generate_bulk_data.sql,289,3,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,259,29,4,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0007,N/A,Partial,86.21%,6*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,238,20,3,0,0,Medium,N/A,SSC-EWI-0073 | SSC-EWI-0036,N/A,N/A,Partial,90%,7
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,UPDATE,N/A,13_generate_bulk_data.sql,233,4,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,7
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,216,16,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,93.75%,7
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,201,14,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,184,16,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,93.75%,3
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,160,23,3,0,0,Medium,N/A,SSC-EWI-0073 | SSC-EWI-0036,N/A,N/A,Partial,86.96%,7
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,142,17,3,0,0,Medium,N/A,SSC-EWI-0073 | SSC-EWI-0036,N/A,N/A,Partial,88.24%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,119,22,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,95.45%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,UPDATE,N/A,13_generate_bulk_data.sql,114,4,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,5
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,97,16,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,93.75%,5
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,83,13,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,4
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,UPDATE,N/A,13_generate_bulk_data.sql,78,4,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,2
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DML,INSERT,N/A,13_generate_bulk_data.sql,60,17,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,94.12%,2
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,CREATE FUNCTION,core.random_ssn,13_generate_bulk_data.sql,51,8,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,0
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,CREATE FUNCTION,core.random_phone,13_generate_bulk_data.sql,42,8,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,0
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,CREATE FUNCTION,"core.random_email(VARCHAR,VARCHAR)",13_generate_bulk_data.sql,32,9,2,1,0,High,N/A,SSC-EWI-0073 | SSC-EWI-0068,SSC-FDM-PG0016,N/A,Partial,77.78%,0
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,CREATE FUNCTION,core.random_last_name,13_generate_bulk_data.sql,20,11,2,1,0,High,N/A,SSC-EWI-0073 | SSC-EWI-0068,SSC-FDM-PG0016,N/A,Partial,81.82%,0
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,CREATE FUNCTION,core.random_first_name,13_generate_bulk_data.sql,7,12,2,1,0,High,N/A,SSC-EWI-0073 | SSC-EWI-0068,SSC-FDM-PG0016,N/A,Partial,83.33%,0
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,CREATE FUNCTION,core.run_maintenance,12_deployment_setup.sql,284,35,2,0,0,Critical,N/A,SSC-EWI-0001,N/A,N/A,Partial,20%,0
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,CREATE FUNCTION,core.health_check,12_deployment_setup.sql,247,32,5,1,0,High,N/A,SSC-EWI-0036 | SSC-EWI-0073 | SSC-EWI-0068,SSC-FDM-0007,N/A,Partial,43.75%,1*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,CREATE FUNCTION,core.backup_status,12_deployment_setup.sql,228,17,2,0,0,High,N/A,SSC-EWI-0073 | SSC-EWI-0068,N/A,N/A,Partial,70.59%,0
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,CREATE FUNCTION,audit.security_audit,12_deployment_setup.sql,192,32,4,1,0,High,N/A,SSC-EWI-0073 | SSC-EWI-0068,SSC-FDM-0007,N/A,Partial,40.62%,6*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,CREATE FUNCTION,audit.log_performance_metrics,12_deployment_setup.sql,165,26,0,2,0,N/A,N/A,N/A,SSC-FDM-PG0017 | SSC-FDM-0007,N/A,Success,100%,1*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,CREATE FUNCTION,core.cleanup_dev_data,12_deployment_setup.sql,84,70,59,1,0,High,N/A,SSC-EWI-0073 | SSC-EWI-0068,SSC-FDM-0007,N/A,Partial,15.71%,9*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,CREATE FUNCTION,core.check_data_integrity,12_deployment_setup.sql,58,22,9,0,0,High,N/A,SSC-EWI-0073 | SSC-EWI-0068,N/A,N/A,Partial,59.09%,8
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,CREATE FUNCTION,core.verify_installation,12_deployment_setup.sql,7,44,8,1,0,High,N/A,SSC-EWI-0073 | SSC-EWI-0068,SSC-FDM-0007,N/A,Partial,81.82%,1*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DQL,SELECT,N/A,14_csv_export_scripts.sql,417,2,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DQL,SELECT,N/A,14_csv_export_scripts.sql,414,2,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,50%,2*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,DQL,SELECT,N/A,14_csv_export_scripts.sql,411,2,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,CREATE FUNCTION,core.generate_python_export_script,14_csv_export_scripts.sql,332,63,55,0,0,High,N/A,SSC-EWI-0073 | SSC-EWI-0068,N/A,N/A,Partial,12.7%,0
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,CREATE FUNCTION,core.generate_export_shell_script,14_csv_export_scripts.sql,285,39,22,0,1,High,N/A,SSC-EWI-0073 | SSC-EWI-0068,N/A,SSC-PRF-0008,Partial,35.9%,0
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,CREATE FUNCTION,analytics.get_table_statistics,14_csv_export_scripts.sql,240,40,8,1,1,High,N/A,SSC-EWI-0073 | SSC-EWI-PG0007 | SSC-EWI-0068,SSC-FDM-0007,SSC-PRF-0008,Partial,72.5%,1*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,analytics.csv_export_commands,14_csv_export_scripts.sql,224,15,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,0
85141c89-454c-4332-ac2a-5a045f33db04,SQL,FUNCTION,CREATE FUNCTION,core.export_all_tables_to_csv(TEXT),14_csv_export_scripts.sql,7,183,50,0,10,High,N/A,SSC-EWI-0073 | SSC-EWI-0068,N/A,SSC-PRF-0008,Partial,57.38%,0
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,analytics.table_count_verification,07_remaining_tables.sql,729,11,0,1,0,N/A,N/A,N/A,SSC-FDM-0007,N/A,Success,100%,1*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,trading.crypto_holdings,07_remaining_tables.sql,713,15,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,trading.robo_advisory,07_remaining_tables.sql,694,18,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,2
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,trading.algo_trading_strategies,07_remaining_tables.sql,678,15,0,2,0,N/A,N/A,N/A,SSC-FDM-PG0016 | SSC-FDM-GP0001,N/A,Success,100%,5
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,analytics.esg_scores,07_remaining_tables.sql,662,15,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,0
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,trading.bond_analytics,07_remaining_tables.sql,599,61,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,3
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,trading.alternative_investments,07_remaining_tables.sql,576,22,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,0
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,trading.hedge_fund_strategies,07_remaining_tables.sql,556,19,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,analytics.economic_indicators,07_remaining_tables.sql,541,14,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,1
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,risk.market_risk_factors,07_remaining_tables.sql,527,13,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,1
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,loans.credit_scoring_variables,07_remaining_tables.sql,511,15,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,core.configuration_items,07_remaining_tables.sql,493,17,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,5
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,core.business_rules,07_remaining_tables.sql,475,17,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,5
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,analytics.data_quality_metrics,07_remaining_tables.sql,458,16,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,0
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,audit.application_logs,07_remaining_tables.sql,442,15,1,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-GP0001,N/A,Partial,93.33%,5
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,audit.database_performance,07_remaining_tables.sql,424,17,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,0*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,trading.wealth_management_accounts,07_remaining_tables.sql,402,21,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,5
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,core.pension_plans,07_remaining_tables.sql,383,18,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,2
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,core.insurance_policies,07_remaining_tables.sql,358,24,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,4
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,core.insurance_products,07_remaining_tables.sql,335,22,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,0
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,trading.mutual_fund_transactions,07_remaining_tables.sql,315,19,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,2
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,trading.mutual_funds,07_remaining_tables.sql,293,21,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,1
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,trading.fx_positions,07_remaining_tables.sql,271,21,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,loans.trade_finance,07_remaining_tables.sql,243,27,0,2,0,N/A,N/A,N/A,SSC-FDM-PG0016 | SSC-FDM-GP0001,N/A,Success,100%,5
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,compliance.customer_due_diligence,07_remaining_tables.sql,219,23,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,5
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,compliance.aml_rules,07_remaining_tables.sql,200,18,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,5
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,risk.ecl_calculations,07_remaining_tables.sql,180,19,1,1,0,Low,N/A,SSC-EWI-0035,SSC-FDM-GP0001,N/A,Partial,94.74%,5
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,risk.liquidity_ratios,07_remaining_tables.sql,163,16,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,5
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,risk.stress_scenario_factors,07_remaining_tables.sql,150,12,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,risk.regulatory_capital,07_remaining_tables.sql,129,20,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,5
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,trading.commodity_trades,07_remaining_tables.sql,107,21,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,5
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,trading.fx_forwards,07_remaining_tables.sql,89,17,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,4
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,trading.interest_rate_swaps,07_remaining_tables.sql,69,19,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,4
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,trading.derivatives,07_remaining_tables.sql,49,19,0,1,0,N/A,N/A,N/A,SSC-FDM-GP0001,N/A,Success,100%,3
85141c89-454c-4332-ac2a-5a045f33db04,SQL,TABLE,CREATE TABLE,loans.syndicated_loans,07_remaining_tables.sql,29,19,0,2,0,N/A,N/A,N/A,SSC-FDM-PG0016 | SSC-FDM-GP0001,N/A,Success,100%,7
